[2026-06-26T20:12:44.042Z] GET http://localhost:8751/index.html → 200 (8ms, 3460B)
[2026-06-26T20:12:44.056Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800&family=Prociono&family=Archivo+Black&family=Anton&family=Big+Shoulders+Display:wght@900&family=Bodoni+Moda:wght@900&family=Audiowide&family=Gloock&family=Unbounded:wght@800&display=swap → pending (?ms, ?B)
[2026-06-26T20:12:44.056Z] GET https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css → pending (?ms, ?B)
[2026-06-26T20:12:44.056Z] GET http://localhost:8751/style.css → 200 (4ms, 7795B)
[2026-06-26T20:12:44.056Z] GET http://localhost:8751/assets/branding/logo.png → 200 (7ms, 1065954B)
[2026-06-26T20:12:44.057Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js → pending (?ms, ?B)
[2026-06-26T20:12:44.057Z] GET http://localhost:8751/effects.js → 200 (6ms, 430B)
[2026-06-26T20:12:44.057Z] GET http://localhost:8751/app.js → 200 (7ms, 26250B)
[2026-06-26T20:12:44.060Z] GET https://fonts.googleapis.com/css2?family=Archivo:ital,wght@0,100..900;1,100..900&family=Montserrat:wght@300;400;500;700&display=swap → pending (?ms, ?B)
[2026-06-26T20:12:44.304Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxKsv4Rn.woff2 → pending (?ms, ?B)
[2026-06-26T20:12:44.304Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2 → pending (?ms, ?B)
[2026-06-26T20:12:44.305Z] GET http://localhost:8751/shaders.js → 200 (1ms, 2283B)
